,Company,Date,Sentiment,Total Mentions
0,GME,2019-01-01,0,0
1,TSLA,2019-01-01,0,0
2,S&P500,2019-01-01,0,0
3,GME,2019-01-02,0,0
4,TSLA,2019-01-02,3.161,15
5,S&P500,2019-01-02,0,0
6,GME,2019-01-03,0,0
7,TSLA,2019-01-03,-0.5994,1
8,S&P500,2019-01-03,0,0
9,GME,2019-01-04,0.26839999999999997,3
10,TSLA,2019-01-04,4.4913,42
11,S&P500,2019-01-04,0,0
12,GME,2019-01-05,0,0
13,TSLA,2019-01-05,0,0
14,S&P500,2019-01-05,0,0
15,GME,2019-01-06,0,0
16,TSLA,2019-01-06,1.816,6
17,S&P500,2019-01-06,0,0
18,GME,2019-01-07,0,0
19,TSLA,2019-01-07,1.3221999999999998,8
20,S&P500,2019-01-07,0,0
21,GME,2019-01-08,0,0
22,TSLA,2019-01-08,1.2364,5
23,S&P500,2019-01-08,0,0
24,GME,2019-01-09,0,0
25,TSLA,2019-01-09,-0.9231,1
26,S&P500,2019-01-09,0,0
27,GME,2019-01-10,0,0
28,TSLA,2019-01-10,1.2543000000000002,21
29,S&P500,2019-01-10,0,0
30,GME,2019-01-11,0,0
31,TSLA,2019-01-11,0,0
32,S&P500,2019-01-11,0,0
33,GME,2019-01-12,0.7096,1
34,TSLA,2019-01-12,0.0,1
35,S&P500,2019-01-12,0,0
36,GME,2019-01-13,0,0
37,TSLA,2019-01-13,1.0179,3
38,S&P500,2019-01-13,0,0
39,GME,2019-01-14,0,0
40,TSLA,2019-01-14,-0.3182,4
41,S&P500,2019-01-14,0,0
42,GME,2019-01-15,0,0
43,TSLA,2019-01-15,0.765,1
44,S&P500,2019-01-15,0,0
45,GME,2019-01-16,0,0
46,TSLA,2019-01-16,2.7333,8
47,S&P500,2019-01-16,0,0
48,GME,2019-01-17,0,0
49,TSLA,2019-01-17,2.4031000000000002,5
50,S&P500,2019-01-17,0,0
51,GME,2019-01-18,0,0
52,TSLA,2019-01-18,7.7456000000000005,52
53,S&P500,2019-01-18,0,0
54,GME,2019-01-19,0,0
55,TSLA,2019-01-19,-0.07890000000000008,8
56,S&P500,2019-01-19,0,0
57,GME,2019-01-20,0,0
58,TSLA,2019-01-20,0,0
59,S&P500,2019-01-20,0,0
60,GME,2019-01-21,0,0
61,TSLA,2019-01-21,0,0
62,S&P500,2019-01-21,0,0
63,GME,2019-01-22,0,0
64,TSLA,2019-01-22,1.6048999999999998,3
65,S&P500,2019-01-22,0,0
66,GME,2019-01-23,0,0
67,TSLA,2019-01-23,1.2127000000000001,10
68,S&P500,2019-01-23,0,0
69,GME,2019-01-24,0,0
70,TSLA,2019-01-24,1.2245,5
71,S&P500,2019-01-24,0,0
72,GME,2019-01-25,0,0
73,TSLA,2019-01-25,0.030600000000000016,3
74,S&P500,2019-01-25,0,0
75,GME,2019-01-26,0,0
76,TSLA,2019-01-26,0.2732,1
77,S&P500,2019-01-26,0,0
78,GME,2019-01-27,0,0
79,TSLA,2019-01-27,0,0
80,S&P500,2019-01-27,0,0
81,GME,2019-01-28,0,0
82,TSLA,2019-01-28,0.37570000000000003,9
83,S&P500,2019-01-28,0,0
84,GME,2019-01-29,0.10389999999999999,6
85,TSLA,2019-01-29,3.7196,18
86,S&P500,2019-01-29,0,0
